X,Y,Z,sii_sii
-4.319509168626073600e+16,-1.361423780072652800e+16,-9.599560070463488000e+15,9.040440320968627930e-01
-4.319509168626073600e+16,-1.353465205673164800e+16,-9.534591173918720000e+15,1.134293913841247559e+00
-4.311550594226585600e+16,-1.369382461846323200e+16,-9.636990710448128000e+15,1.058468580245971680e+00
-4.311550594226585600e+16,-1.361423780072652800e+16,-9.616230986022912000e+15,1.082346081733703613e+00
-4.311550594226585600e+16,-1.353465205673164800e+16,-9.562596508172288000e+15,1.034246444702148438e+00
-4.303592019827097600e+16,-1.369382461846323200e+16,-9.675743126618112000e+15,7.700013518333435059e-01
-4.303592019827097600e+16,-1.361423780072652800e+16,-9.645043774128128000e+15,8.393664360046386719e-01
-4.303592019827097600e+16,-1.353465205673164800e+16,-9.577290665033728000e+15,8.759095072746276855e-01
-4.295633874924339200e+16,-1.361423780072652800e+16,-9.677645797130240000e+15,8.346355557441711426e-01
-4.231964420734976000e+16,-1.472845110155673600e+16,-9.403084644024320000e+15,8.921518921852111816e-01
-4.231964420734976000e+16,-1.464886428382003200e+16,-9.352084054867968000e+15,1.064032196998596191e+00
-4.224005416838758400e+16,-1.480803791929344000e+16,-9.430560623558656000e+15,1.333217978477478027e+00
-4.224005416838758400e+16,-1.472845110155673600e+16,-9.387790265483264000e+15,1.048753023147583008e+00
-4.224005416838758400e+16,-1.464886428382003200e+16,-9.342294750658560000e+15,9.725927114486694336e-01
-4.224005416838758400e+16,-1.456927853982515200e+16,-9.334315775164416000e+15,1.318645238876342773e+00
-4.224005416838758400e+16,-1.448969172208844800e+16,-9.303229875617792000e+15,9.538787007331848145e-01
-4.216046842439270400e+16,-1.488762473703014400e+16,-9.307586046197760000e+15,9.997431635856628418e-01
-4.216046842439270400e+16,-1.480803791929344000e+16,-9.373372060270592000e+15,8.892616629600524902e-01
-4.216046842439270400e+16,-1.472845110155673600e+16,-9.341648358080512000e+15,9.741107821464538574e-01
-4.216046842439270400e+16,-1.464886428382003200e+16,-9.323736196972544000e+15,9.145134687423706055e-01
-4.216046842439270400e+16,-1.456927853982515200e+16,-9.317267976224768000e+15,8.600761294364929199e-01
-4.216046842439270400e+16,-1.448969172208844800e+16,-9.315333093457920000e+15,8.280411362648010254e-01
-4.208088268039782400e+16,-1.488762473703014400e+16,-9.359217995546624000e+15,1.191506266593933105e+00
